CharacterId	SkillGroupId[1]	Pos[1]	SkillGroupId[2]	Pos[2]	SkillGroupId[3]	Pos[3]	SkillGroupId[4]	Pos[4]	SkillGroupId[5]	Pos[5]	SkillGroupId[6]	Pos[6]	SkillGroupId[7]	Pos[7]	SkillGroupId[8]	Pos[8]	SkillGroupId[9]	Pos[9]	SkillGroupId[10]	Pos[10]	SkillGroupId[11]	Pos[11]	SkillGroupId[12]	Pos[12]	SkillGroupId[13]	Pos[13]	SkillGroupId[14]	Pos[14]	SkillGroupId[15]	Pos[15]	SkillGroupId[16]	Pos[16]
1011002	1012010	1	1012060	1	1012110	1	1012160	1	1012210	2	1012170	2	1012180	2	1012220	3	1012230	3	1012240	4	1012250	4	1012260	4	1012270	3						
1021001	1021010	1	1021060	1	1021110	1	1021160	1	1021210	2	1021170	2	1021180	2	1021220	3	1021230	3	1021240	4	1021250	4	1021260	4	1021270	3						
1031001	1031010	1	1031060	1	1031110	1	1031160	1	1031210	2	1031170	2	1031180	2	1031220	3	1031230	3	1031240	4	1031250	4	1031260	4	1031270	3						
1041002	1042010	1	1042060	1	1042110	1	1042160	1	1042210	2	1042170	2	1042180	2	1042220	3	1042230	3	1042240	4	1042250	4	1042260	4	1042270	3						
1051001	1051010	1	1051060	1	1051110	1	1051160	1	1051210	2	1051170	2	1051180	2	1051220	3	1051230	3	1051240	4	1051250	4	1051260	4	1051270	3						
1061002	1062010	1	1062060	1	1062110	1	1062160	1	1062210	2	1062170	2	1062180	2	1062220	3	1062230	3	1062240	4	1062250	4	1062260	4	1062270	3						
1071002	1072010	1	1072060	1	1072110	1	1072160	1	1072210	2	1072170	2	1072180	2	1072220	3	1072230	3	1072240	4	1072250	4	1072260	4	1072270	3						
1081002	1082010	1	1082060	1	1082110	1	1082160	1	1082210	2	1082170	2	1082180	2	1082220	3	1082230	3	1082240	4	1082250	4	1082260	4	1082270	3						
1021002	1022010	1	1022060	1	1022110	1	1022160	1	1022210	2	1022170	2	1022180	2	1022220	3	1022230	3	1022240	4	1022250	4	1022260	4	1022270	3						
1031002	1032010	1	1032060	1	1032110	1	1032160	1	1032210	2	1032170	2	1032180	2	1032220	3	1032230	3	1032240	4	1032250	4	1032260	4	1032270	3						
