SkillLevelId	Ability
10222801	0
10222802	0
10222803	0
10222804	0
10222805	0
10222806	0
10222807	0
10222808	0
10222809	0
10222810	0
10222811	0
10222812	0
10222813	0
10222814	0
10222815	0
10222816	0
10222817	0
10222818	0
10222819	0
10222820	0
10222821	0
10222822	0
10222823	0
10222824	0
10222825	0
10222826	0
10222827	0
10222828	0
10222829	0
10222830	0
10222831	0
10222832	0
10222833	0
10222834	0
10222835	0
10222901	0
10222902	0
10222903	0
10222904	0
10222905	0
10222906	0
10222907	0
10222908	0
10222909	0
10222910	0
10222911	0
10222912	0
10222913	0
10222914	0
10222915	0
10222916	0
10222917	0
10222918	0
10222919	0
10222920	0
10222921	0
10222922	0
10222923	0
10222924	0
10222925	0
10222926	0
10222927	0
10222928	0
10222929	0
10222930	0
10222931	0
10222932	0
10222933	0
10222934	0
10222935	0
10223001	0
10223002	0
10223003	0
10223004	0
10223005	0
10223006	0
10223007	0
10223008	0
10223009	0
10223010	0
10223011	0
10223012	0
10223013	0
10223014	0
10223015	0
10223016	0
10223017	0
10223018	0
10223019	0
10223020	0
10223021	0
10223022	0
10223023	0
10223024	0
10223025	0
10223026	0
10223027	0
10223028	0
10223029	0
10223030	0
10223031	0
10223032	0
10223033	0
10223034	0
10223035	0
15532801	0
15532802	0
15532803	0
15532804	0
15532805	0
15532806	0
15532807	0
15532808	0
15532809	0
15532810	0
15532811	0
15532812	0
15532813	0
15532814	0
15532815	0
15532816	0
15532817	0
15532818	0
15532819	0
15532820	0
15532821	0
15532822	0
15532823	0
15532824	0
15532825	0
15532826	0
15532827	0
15532828	0
15532829	0
15532830	0
15532831	0
15532832	0
15532833	0
15532834	0
15532835	0
15532901	0
15532902	0
15532903	0
15532904	0
15532905	0
15532906	0
15532907	0
15532908	0
15532909	0
15532910	0
15532911	0
15532912	0
15532913	0
15532914	0
15532915	0
15532916	0
15532917	0
15532918	0
15532919	0
15532920	0
15532921	0
15532922	0
15532923	0
15532924	0
15532925	0
15532926	0
15532927	0
15532928	0
15532929	0
15532930	0
15532931	0
15532932	0
15532933	0
15532934	0
15532935	0
15533001	0
15533101	0
15533201	0
15432801	0
15432802	0
15432803	0
15432804	0
15432805	0
15432806	0
15432807	0
15432808	0
15432809	0
15432810	0
15432811	0
15432812	0
15432813	0
15432814	0
15432815	0
15432816	0
15432817	0
15432818	0
15432819	0
15432820	0
15432821	0
15432822	0
15432823	0
15432824	0
15432825	0
15432826	0
15432827	0
15432828	0
15432829	0
15432830	0
15432831	0
15432832	0
15432833	0
15432834	0
15432835	0
15432901	0
15432902	0
15432903	0
15432904	0
15432905	0
15432906	0
15432907	0
15432908	0
15432909	0
15432910	0
15432911	0
15432912	0
15432913	0
15432914	0
15432915	0
15432916	0
15432917	0
15432918	0
15432919	0
15432920	0
15432921	0
15432922	0
15432923	0
15432924	0
15432925	0
15432926	0
15432927	0
15432928	0
15432929	0
15432930	0
15432931	0
15432932	0
15432933	0
15432934	0
15432935	0
15433001	0
15433101	0
15433201	0
15632801	0
15632802	0
15632803	0
15632804	0
15632805	0
15632806	0
