Id	SkillId[0]	SkillId[1]	SkillId[2]
1012280	101228		
1012290	101229		
1012300	101230		
1022280	102228		
1022290	102229		
1022300	102230		
1025280	102528		
1025290	102529		
1025300	102530		
1025310	102531		
1026280	102628		
1026290	102629		
1026300	102630		
1027280	102728		
1027290	102729		
1027300	102730		
1032280	103228		
1032290	103229		
1032300	103230		
1035280	103528		
1035290	103529		
1035300	103530		
1045280	104528		
1045290	104529		
1045300	104530		
1055280	105528		
1055290	105529		
1055300	105530		
1064280	106428		
1064290	106429		
1064300	106430		
1083280	108328		
1083290	108329		
1083300	108330		
1084280	108428		
1084290	108429		
1084300	108430		
1132280	113228		
1132290	113229		
1132300	113230		
1133280	113328		
1133290	113329		
1133300	113330		
1134280	113428		
1134290	113429		
1134300	113430		
1143280	114328		
1143290	114329		
1143300	114330		
1144280	114428		
1144290	114429		
1144300	114430		
1174280	117428		
1174290	117429		
1174300	117430		
1213280	121328		
1213290	121329		
1213300	121330		
1223280	122328		
1223290	122329		
1223300	122330		
1243280	124328		
1243290	124329		
1243300	124330		
1252280	125228		
1252290	125229		
1252300	125230		
1263280	126328		
1263290	126329		
1263300	126330		
1273280	127328		
1273290	127329		
1273300	127330		
1282280	128228		
1282290	128229		
1282300	128230		
1292280	129228		
1292290	129229		
1292300	129230		
1293280	129328		
1293290	129329		
1293300	129330		
1302280	130228		
1302290	130229		
1302300	130230		
1312280	131228		
1312290	131229		
1312300	131230		
1322280	132228		
1322290	132229		
1322300	132230		
1323280	132328		
1323290	132329		
1323300	132330		
1333280	133328		
1333290	133329		
1333300	133330		
1353280	135328		
1353290	135329		
1353300	135330		
1363280	136328		
1363290	136329		
1363300	136330		
1372280	137228		
1372290	137229		
1372300	137230		
1383280	138328		
1383290	138329		
1383300	138330		
1393280	139328		
1393290	139329		
1393300	139330		
1513280	151328		
1513290	151329		
1513300	151330		
1513310	151331		
1513320	151332		
1523280	152328		
1523290	152329		
1523300	152330		
1523310	152331		
1523320	152332		
1524280	152428		
1524290	152429		
1524300	152430		
1533280	153328		
1533290	153329		
1533300	153330		
1533310	153331		
1533320	153332		
1535280	153528		
1535290	153529		
1535300	153530		
1543280	154328		
1543290	154329		
1543300	154330		
1543310	154331		
1543320	154332		
1553280	155328		
1553290	155329		
1553300	155330		
1553310	155331		
1553320	155332		
1563280	156328		
1563290	156329		
1563300	156330		
1563310	156331		
1563320	156332		
1573280	157328		
1573290	157329		
1573300	157330		
1573310	157331		
1573320	157332		
