Id	PositionX	PositionY	PositionZ	RotationX	RotationY	RotationZ	ScaleX	ScaleY	ScaleZ
3014006	429319.7296	429412.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3024006	429319.7296	429412.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3034006	429319.7296	429412.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3044006	429319.7296	429412.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3054006	429319.7296	429412.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3064006	429319.7296	429412.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3015009	141.0	429267.7296	20.0	0.0	0.0	0.0	1.1	1.1	1.1
3025009	429466.7296	429358.7296	20.0	0.0	0.0	0.0	0.8999	0.8999	0.8999
3035009	429458.7296	429162.7296	20.0	0.0	0.0	0.0	1.2	1.2	1.2
3045009	141.0	429267.7296	20.0	0.0	0.0	0.0	1.1	1.1	1.1
3055009	429466.7296	429358.7296	20.0	0.0	0.0	0.0	0.8999	0.8999	0.8999
3065009	429458.7296	429162.7296	20.0	0.0	0.0	0.0	1.2	1.2	1.2
3014004	429476.7296	429431.7296	20.0	0.0	0.0	0.0	0.8999	0.8999	0.8999
3024004	429476.7296	429431.7296	20.0	0.0	0.0	0.0	0.8999	0.8999	0.8999
3034004	429476.7296	429431.7296	20.0	0.0	0.0	0.0	0.8999	0.8999	0.8999
3044004	429476.7296	429431.7296	20.0	0.0	0.0	0.0	0.8999	0.8999	0.8999
3054004	429476.7296	429431.7296	20.0	0.0	0.0	0.0	0.8999	0.8999	0.8999
3064004	429476.7296	429431.7296	20.0	0.0	0.0	0.0	0.8999	0.8999	0.8999
3014003	0.0	429285.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3024003	0.0	429285.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3034003	0.0	429285.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3044003	0.0	429285.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3054003	0.0	429285.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3064003	0.0	429285.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3014002	429469.7296	429449.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3024002	429469.7296	429449.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3034002	429469.7296	429449.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3044002	429469.7296	429449.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3054002	429469.7296	429449.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3064002	429469.7296	429449.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3014001	429432.7296	429401.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3024001	429432.7296	429401.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3034001	429432.7296	429401.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3044001	429432.7296	429401.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3054001	429432.7296	429401.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3064001	429432.7296	429401.7296	20.0	0.0	0.0	0.0	0.8	0.8	0.8
3013002	429424.7296	429339.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3023002	429424.7296	429339.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3033002	429424.7296	429339.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3043002	429424.7296	429339.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3053002	429424.7296	429339.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3063002	429424.7296	429339.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3013001	47.0	429261.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3023001	47.0	429261.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3033001	47.0	429261.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3043001	47.0	429261.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3053001	47.0	429261.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3063001	47.0	429261.7296	20.0	0.0	0.0	0.0	1.0	1.0	1.0
3012001	429446.7296	429198.7296	20.0	0.0	0.0	0.0	1.1	1.1	1.1
3022001	429446.7296	429198.7296	20.0	0.0	0.0	0.0	1.1	1.1	1.1
3032001	429446.7296	429198.7296	20.0	0.0	0.0	0.0	1.1	1.1	1.1
3042001	429446.7296	429198.7296	20.0	0.0	0.0	0.0	1.1	1.1	1.1
3052001	429446.7296	429198.7296	20.0	0.0	0.0	0.0	1.1	1.1	1.1
3062001	429446.7296	429198.7296	20.0	0.0	0.0	0.0	1.1	1.1	1.1
