Id	ChapterId	CountWeight[1]	CountWeight[2]	CountWeight[3]	FightWeight	FightFactor[1]	FightFactor[2]	FightFactor[3]	FightFactor[4]	FightFactor[5]	FightFactor[6]	FightFactor[7]	FightFloor	FightTop	EventTop	ShopTop	FightLibId	EventLibId	ShopLibId	RewardProbability[1]	RewardProbability[2]	ItemBoxWeight[1]	ItemBoxWeight[2]	RecruitTicketWeight[1]	RecruitTicketWeight[2]	GoldWeight[1]	GoldWeight[2]	ItemBoxGroupId[1]	ItemBoxGroupId[2]	RecruitTicketGroupId[1]	RecruitTicketGroupId[2]	GoldGroupId[1]	GoldGroupId[2]	EventWeight	ShopWeight	ShopFloor	EventFloor
1	1	10000	0	0	10000	10000	10000	10000	10000	10040	10090	10130	1	1	3	1	1001	1001	1011	100	5	0	1000	10000	0	0	0	1	3	1	1	1	1				
2	1	0	8000	2000	7000	12200	12200	12200	12322	12431	12541	12651		3	3	1	1001	1001	1011	100	5	0	1000	10000	0	0	0	1	3	1	1	1	1	3000			
3	1	0	10000	0		15200	15200	15291	15504	15701	15929	16142		3	3	1	1001	1001	1011	100	5	0	1000	10000	0	0	0	1	3	1	1	1	1	10000			
4	1	10000	0	0		18900	18937	19296	19656	20015	20374	20733		3	3	1	1001	1001	1011	100	5	0	1000	10000	0	0	0	1	3	1	1	1	1		10000	1	
5	2	10000	0	0		15900	15900	15995	16377	16742	17124	17505		3	3	1	1001	1001	1011	100	5	0	1000	10000	0	0	0	1	3	1	1	1	1	10000			
6	2	1000	3000	6000	7000	21600	21600	21837	22464	23068	23695	24343		3	3	1	2002	1002	1021	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000			
7	2	1000	3000	6000	3000	27800	27800	28522	29468	30413	31358	32359		3	1	1	2003	1002	1021	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000	2000		1
8	2	1000	3000	6000	7000	34300	34402	35706	37044	38381	39788	41228		3	3	1	2004	1002	1021	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000			
9	2	1000	3000	6000	7000	40900	41390	43149	44990	46830	48752	50716		3	3	1	2005	1002	1021	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1		3000		
10	3	1000	3000	6000	5000	31900	31900	32282	33814	35345	36972	38630		3	3	1	3001	1003	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000			
11	3	1000	3000	6000	5000	38600	38600	39603	41688	43772	45972	48250		3	3	1	3002	1003	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000	2000		
12	3	1000	3000	6000	5000	45800	45800	48090	50838	53631	56563	59585		3	3	1	3003	1003	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000			
13	3	1000	3000	6000	7000	53400	53934	57298	60876	64507	68352	72303		3	3	1	3004	1003	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000			
14	3	1000	3000	6000	5000	61200	62852	67136	71604	76255	81090	86108		3	3	1	3005	1003	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000			
15	3	1000	3000	6000	3000	69300	72279	77616	83160	88911	95010	101316		3	3	1	3006	1003	1032	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000	2000	1	
16	3	0	10000	0		77600	82178	88619	95448	102509	109959	117796			1	1	3006	20001	1032	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	10000	10000	1	1
17	3	10000	0	0		86100	92557	100306	108486	117009	126050	135607		3	3	1	3007	3001	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	10000			1
18	3	10000	0	0		86100	92557	100306	108486	117009	126050	135607		3	3	1	3008	3002	1031	100	100	0	1000	7000	0	3000	0	2	2	2	2	2	2	10000			1
19	4	1000	3000	6000	6000	61300	61300	65958	71721	77728	84103	90785		3	3	1	4001	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	2000	2000		
20	4	1000	3000	6000	5000	74400	76557	83774	91512	99621	108177	117254		3	3	1	4002	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000			
21	4	1000	3000	6000	7000	87600	92943	102229	112128	122552	133765	145503		3	3	1	4003	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000			
22	4	1000	3000	6000	3000	100900	110081	121786	134197	147414	161440	176373		3	3	1	4004	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000	2000		
23	4	1000	3000	6000	7000	115785	129159	143446	158877	175221	192709	211455		3	3	1	4005	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000			
24	4	1000	3000	6000	7000	131810	147888	165114	183744	203522	224831	247544		3	3	1	4006	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1		3000		
25	5	1000	3000	6000	6000	80400	80400	89163	99696	110952	123012	135956		3	3	1	5001	1005	1051	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	4000			
26	5	1000	3000	6000	3000	97900	101228	114151	128249	143325	159577	177101		3	3	1	5002	1005	1051	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000	2000		
27	5	1000	3000	6000	7000	115200	124185	140889	158976	178444	199526	222220		3	3	1	5003	1005	1051	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000			
28	5	1000	3000	6000	5000	132300	148440	169211	191835	216310	242770	271479		3	3	1	5004	1005	1051	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000			
29	5	1000	3000	6000	5000	150692	173668	199032	226784	256773	289448	324808		3	3	1	5005	1005	1054	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000	2000	1	
30	5	1000	3000	6000	7000	172536	200075	230435	263781	299947	339597	382399		3	3	1	5006	1005	1051	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000			
31	5	10000	0	0		193602	225869	261600	300795	343635	390486	441348		3	3	1	5007	5001	1051	100	100	0	1000	7000	0	3000	0	2	2	2	2	2	2	10000			1
32	6	10000	0	0	1000	167867	197047	229245	264966	304040	346803	393424		3	3	1	6001	1006	1061	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1				
33	6	10000	0	0		194041	229020	267865	311129	358442	410543	467429		3	3	1	6002	1006	1062	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1		1000	1	
34	6	10000	0	0		221110	262531	308754	360180	416808	479239	547673		3	3	1	6003	1006	1061	100	100	0	1000	7000	0	3000	0	2	2	2	2	2	2	10000			1
35	7	10000	0	0	10000	10000	10000	10000	10000	10040	10090	10130	1	1	3	1	1001	1001	1011	100	5	0	1000	10000	0	0	0	1	3	1	1	1	1				
36	7	0	8000	2000	7000	12200	12200	12200	12322	12431	12541	12651		3	3	1	1001	1001	1011	100	5	0	1000	10000	0	0	0	1	3	1	1	1	1	3000			
37	7	0	10000	0		15200	15200	15291	15504	15701	15929	16142		3	3	1	1001	1001	1011	100	5	0	1000	10000	0	0	0	1	3	1	1	1	1	10000			
38	7	10000	0	0		18900	18937	19296	19656	20015	20374	20733		3	3	1	1001	1001	1011	100	5	0	1000	10000	0	0	0	1	3	1	1	1	1		10000	1	
39	8	10000	0	0		15900	15900	15995	16377	16742	17124	17505		3	3	1	1001	1001	1011	100	5	0	1000	10000	0	0	0	1	3	1	1	1	1	10000			
40	8	1000	3000	6000		21600	21600	21837	22464	23068	23695	24343		3	3	1	2102	1002	1021	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	10000			
41	8	1000	3000	6000	8000	27800	27800	28522	29468	30413	31358	32359		3	1	1	2103	1002	1021	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	1000	1000		1
42	8	1000	3000	6000		34300	34402	35706	37044	38381	39788	41228		3	3	1	2104	1002	1021	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	10000			
43	8	1000	3000	6000	7000	40900	41390	43149	44990	46830	48752	50716		3	3	1	2105	1002	1021	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1		3000		
44	9	1000	3000	6000	5000	31900	31900	32282	33814	35345	36972	38630		3	3	1	3001	1003	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000			
45	9	1000	3000	6000	5000	38600	38600	39603	41688	43772	45972	48250		3	3	1	3002	1003	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000	2000		
46	9	1000	3000	6000	5000	45800	45800	48090	50838	53631	56563	59585		3	3	1	3003	1003	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000			
47	9	1000	3000	6000	7000	53400	53934	57298	60876	64507	68352	72303		3	3	1	3004	1003	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000			
48	9	1000	3000	6000	5000	61200	62852	67136	71604	76255	81090	86108		3	3	1	3005	1003	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000			
49	9	1000	3000	6000	3000	69300	72279	77616	83160	88911	95010	101316		3	3	1	3006	1003	1035	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000	2000	1	
50	9	0	10000	0		77600	82178	88619	95448	102509	109959	117796			1	1	3006	20001	1032	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	10000	10000	1	1
51	9	10000	0	0		86100	92557	100306	108486	117009	126050	135607		3	3	1	3007	3001	1031	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	10000			1
52	9	10000	0	0		86100	92557	100306	108486	117009	126050	135607		3	3	1	3008	3002	1031	100	100	0	1000	7000	0	3000	0	2	2	2	2	2	2	10000			1
53	10	1000	3000	6000	6000	61300	61300	65958	71721	77728	84103	90785		3	3	1	4001	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	2000	2000		
54	10	1000	3000	6000	5000	74400	76557	83774	91512	99621	108177	117254		3	3	1	4002	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000			
55	10	1000	3000	6000	7000	87600	92943	102229	112128	122552	133765	145503		3	3	1	4003	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000			
56	10	1000	3000	6000	3000	100900	110081	121786	134197	147414	161440	176373		3	3	1	4004	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000	2000		
57	10	1000	3000	6000	7000	115785	129159	143446	158877	175221	192709	211455		3	3	1	4005	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000			
58	10	1000	3000	6000	7000	131810	147888	165114	183744	203522	224831	247544		3	3	1	4006	1004	1041	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1		3000		
59	11	1000	3000	6000	6000	80400	80400	89163	99696	110952	123012	135956		3	3	1	5001	1005	1051	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	4000			
60	11	1000	3000	6000	3000	97900	101228	114151	128249	143325	159577	177101		3	3	1	5002	1005	1051	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000	2000		
61	11	1000	3000	6000	7000	115200	124185	140889	158976	178444	199526	222220		3	3	1	5003	1005	1051	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	3000			
62	11	1000	3000	6000	5000	132300	148440	169211	191835	216310	242770	271479		3	3	1	5004	1005	1051	100	5	2000	1000	6000	0	2000	0	1	3	1	1	1	1	5000			
