Id	GroupId	ItemType	TicketId	Weight	Price	ItemId
1	1	2	1003	417	15	
2	1	2	2003	417	15	
3	1	2	3003	417	15	
4	1	2	4003	417	15	
5	1	2	5003	417	15	
6	1	2	9001	417	15	
7	1	2	1004	83	22	
8	1	2	2004	83	22	
9	1	2	3004	83	22	
10	1	2	4004	83	22	
11	1	2	5004	83	22	
12	1	2	9002	83	22	
13	1	1		88	10	1
14	1	1		88	10	4
15	1	1		88	10	6
16	1	1		88	10	8
17	1	1		88	10	10
18	1	1		88	10	13
19	1	1		88	10	16
20	1	1		88	10	18
21	1	1		88	10	20
22	1	1		88	10	23
23	1	1		88	10	26
24	1	1		88	10	29
25	1	1		88	10	37
26	1	1		88	10	52
27	1	1		88	10	54
28	1	1		88	10	57
29	1	1		88	10	63
30	1	1		32	14	2
31	1	1		32	14	5
32	1	1		32	14	7
33	1	1		32	14	9
34	1	1		32	14	11
35	1	1		32	14	14
36	1	1		32	14	17
37	1	1		32	14	19
38	1	1		32	14	21
39	1	1		32	14	24
40	1	1		32	14	27
41	1	1		32	14	30
42	1	1		32	14	31
43	1	1		32	14	33
44	1	1		32	14	35
45	1	1		32	14	38
46	1	1		32	14	40
47	1	1		32	14	42
48	1	1		32	14	44
49	1	1		32	14	46
50	1	1		32	14	48
51	1	1		32	14	50
52	1	1		32	14	53
53	1	1		32	14	55
54	1	1		32	14	58
55	1	1		32	14	64
56	1	1		32	14	66
57	1	1		32	14	73
58	1	1		32	14	74
59	1	1		32	14	87
60	1	1		32	14	89
61	1	1		14	18	3
62	1	1		14	18	12
63	1	1		14	18	15
64	1	1		14	18	22
65	1	1		14	18	25
66	1	1		14	18	28
67	1	1		14	18	32
68	1	1		14	18	34
69	1	1		14	18	36
70	1	1		14	18	39
71	1	1		14	18	41
72	1	1		14	18	43
73	1	1		14	18	45
74	1	1		14	18	47
75	1	1		14	18	49
76	1	1		14	18	51
77	1	1		14	18	56
78	1	1		14	18	59
79	1	1		14	18	65
80	1	1		14	18	67
81	1	1		14	18	72
82	1	1		14	18	75
83	1	1		14	18	76
84	1	1		14	18	77
85	1	1		14	18	78
86	1	1		14	18	79
87	1	1		14	18	80
88	1	1		14	18	81
89	1	1		14	18	82
90	1	1		14	18	83
91	1	1		14	18	84
92	1	1		14	18	85
93	1	1		14	18	86
94	1	1		14	18	88
95	1	1		14	18	92
99	2	1		88	10	1
100	2	1		88	10	4
101	2	1		88	10	6
102	2	1		88	10	8
103	2	1		88	10	10
104	2	1		88	10	13
105	2	1		88	10	16
106	2	1		88	10	18
107	2	1		88	10	20
108	2	1		88	10	23
109	2	1		88	10	26
110	2	1		88	10	29
111	2	1		88	10	37
112	2	1		88	10	52
113	2	1		88	10	54
114	2	1		88	10	57
115	2	1		88	10	63
116	2	1		32	14	2
117	2	1		32	14	5
118	2	1		32	14	7
119	2	1		32	14	9
120	2	1		32	14	11
121	2	1		32	14	14
122	2	1		32	14	17
123	2	1		32	14	19
124	2	1		32	14	21
125	2	1		32	14	24
126	2	1		32	14	27
127	2	1		32	14	30
128	2	1		32	14	31
129	2	1		32	14	33
130	2	1		32	14	35
131	2	1		32	14	38
132	2	1		32	14	40
133	2	1		32	14	42
134	2	1		32	14	44
135	2	1		32	14	46
136	2	1		32	14	48
137	2	1		32	14	50
138	2	1		32	14	53
139	2	1		32	14	55
140	2	1		32	14	58
141	2	1		32	14	64
142	2	1		32	14	66
143	2	1		32	14	73
144	2	1		32	14	74
145	2	1		32	14	87
146	2	1		32	14	89
147	2	1		14	18	3
148	2	1		14	18	12
149	2	1		14	18	15
150	2	1		14	18	22
151	2	1		14	18	25
152	2	1		14	18	28
153	2	1		14	18	32
154	2	1		14	18	34
155	2	1		14	18	36
156	2	1		14	18	39
157	2	1		14	18	41
158	2	1		14	18	43
159	2	1		14	18	45
160	2	1		14	18	47
161	2	1		14	18	49
162	2	1		14	18	51
163	2	1		14	18	56
164	2	1		14	18	59
165	2	1		14	18	65
166	2	1		14	18	67
167	2	1		14	18	72
168	2	1		14	18	75
169	2	1		14	18	76
170	2	1		14	18	77
171	2	1		14	18	78
172	2	1		14	18	79
173	2	1		14	18	80
174	2	1		14	18	81
175	2	1		14	18	82
176	2	1		14	18	83
177	2	1		14	18	84
178	2	1		14	18	85
179	2	1		14	18	86
180	2	1		14	18	88
181	2	1		14	18	92
184	3	2	1003	417	15	
185	3	2	2003	417	15	
186	3	2	3003	417	15	
187	3	2	4003	417	15	
188	3	2	5003	417	15	
189	3	2	9001	417	15	
190	3	2	1004	83	22	
191	3	2	2004	83	22	
192	3	2	3004	83	22	
193	3	2	4004	83	22	
194	3	2	5004	83	22	
195	3	2	9002	83	22	
197	4	2	1003	417	15	
198	4	2	2003	417	15	
199	4	2	3003	417	15	
200	4	2	4003	417	15	
201	4	2	5003	417	15	
202	4	2	9001	417	15	
203	4	2	1004	83	22	
204	4	2	2004	83	22	
205	4	2	3004	83	22	
206	4	2	4004	83	22	
207	4	2	5004	83	22	
208	4	2	9002	83	22	
210	4	1		88	10	1
211	4	1		88	10	4
212	4	1		88	10	6
213	4	1		88	10	8
214	4	1		88	10	10
215	4	1		88	10	13
216	4	1		88	10	16
217	4	1		88	10	18
218	4	1		88	10	20
219	4	1		88	10	23
220	4	1		88	10	26
221	4	1		88	10	29
222	4	1		88	10	37
223	4	1		88	10	52
224	4	1		88	10	54
225	4	1		88	10	57
226	4	1		88	10	63
227	4	1		32	14	2
228	4	1		32	14	5
229	4	1		32	14	7
230	4	1		32	14	9
231	4	1		32	14	11
232	4	1		32	14	14
233	4	1		32	14	17
234	4	1		32	14	19
235	4	1		32	14	21
236	4	1		32	14	24
237	4	1		32	14	27
238	4	1		32	14	30
239	4	1		32	14	31
240	4	1		32	14	33
241	4	1		32	14	35
242	4	1		32	14	38
243	4	1		32	14	40
244	4	1		32	14	42
245	4	1		32	14	44
246	4	1		32	14	46
247	4	1		32	14	48
248	4	1		32	14	50
249	4	1		32	14	53
250	4	1		32	14	55
251	4	1		32	14	58
252	4	1		32	14	64
253	4	1		32	14	66
254	4	1		32	14	73
255	4	1		32	14	74
256	4	1		32	14	87
257	4	1		32	14	89
258	4	1		14	18	3
259	4	1		14	18	12
260	4	1		14	18	15
261	4	1		14	18	22
262	4	1		14	18	25
263	4	1		14	18	28
264	4	1		14	18	32
265	4	1		14	18	34
266	4	1		14	18	36
267	4	1		14	18	39
268	4	1		14	18	41
269	4	1		14	18	43
270	4	1		14	18	45
271	4	1		14	18	47
272	4	1		14	18	49
273	4	1		14	18	51
274	4	1		14	18	56
275	4	1		14	18	59
276	4	1		14	18	65
277	4	1		14	18	67
278	4	1		14	18	72
279	4	1		14	18	75
280	4	1		14	18	76
281	4	1		14	18	77
282	4	1		14	18	78
283	4	1		14	18	79
284	4	1		14	18	80
285	4	1		14	18	81
286	4	1		14	18	82
287	4	1		14	18	83
288	4	1		14	18	84
289	4	1		14	18	85
290	4	1		14	18	86
291	4	1		14	18	88
292	4	1		14	18	92
301	1	1		14	18	90
302	1	1		14	18	91
311	2	1		14	18	90
312	2	1		14	18	91
321	4	1		14	18	90
322	4	1		14	18	91
323	2	1		333	9	115
324	2	1		333	18	116
325	2	1		333	27	117
326	3	1		333	9	115
327	3	1		333	18	116
328	3	1		333	27	117
329	4	1		333	9	115
330	4	1		333	18	116
331	4	1		333	27	117
332	5	2	1004	83	22	
333	5	2	2004	83	22	
334	5	2	3004	83	22	
335	5	2	4004	83	22	
336	5	2	5004	83	22	
337	5	2	9002	83	22	
