Id	NeedCharacter
12010101	3
12010102	3
12010201	3
12010202	3
12010301	3
12010302	3
12020101	3
12020102	3
12020103	3
12020201	3
12020202	3
12020203	3
12020301	3
12020302	3
12020303	3
12030101	3
12030102	3
12030103	3
12030201	3
12030202	3
12030203	3
12030301	3
12030302	3
12030303	3
12040101	3
12040102	3
12040103	3
12040201	3
12040202	3
12040203	3
12040301	3
12040302	3
12040303	3
12050101	3
12050102	3
12050103	3
12050201	3
12050202	3
12050203	3
12050301	3
12050302	3
12050303	3
12060101	3
12060102	3
12060103	3
12060201	3
12060202	3
12060203	3
12060301	3
12060302	3
12060303	3
12070101	3
12070102	3
12070103	3
12070201	3
12070202	3
12070203	3
12070301	3
12070302	3
12070303	3
12080101	3
12080102	3
12080103	3
12080201	3
12080202	3
12080203	3
12080301	3
12080302	3
12080303	3
12090101	3
12090102	3
12090103	3
12090201	3
12090202	3
12090203	3
12090301	3
12090302	3
12090303	3
12100101	3
12100102	3
12100103	3
12100104	3
12100201	3
12100202	3
12100203	3
12100204	3
12100301	3
12100302	3
12100303	3
12100304	3
12110101	3
12110102	3
12110103	3
12110104	3
12110201	3
12110202	3
12110203	3
12110204	3
12110301	3
12110302	3
12110303	3
12110304	3
12120101	3
12120102	3
12120103	3
12120104	3
12120201	3
12120202	3
12120203	3
12120204	3
12120301	3
12120302	3
12120303	3
12120304	3
12130101	3
12130102	3
12130103	3
12130104	3
12130105	3
12130201	3
12130202	3
12130203	3
12130204	3
12130205	3
12130301	3
12130302	3
12130303	3
12130304	3
12130305	3
12140101	3
12140102	3
12140103	3
12140104	3
12140105	3
12140201	3
12140202	3
12140203	3
12140204	3
12140205	3
12140301	3
12140302	3
12140303	3
12140304	3
12140305	3
12150101	3
12150102	3
12150103	3
12150104	3
12150105	3
12150201	3
12150202	3
12150203	3
12150204	3
12150205	3
12150301	3
12150302	3
12150303	3
12150304	3
12150305	3
12160101	3
12160102	3
12160103	3
12160104	3
12160105	3
12160201	3
12160202	3
12160203	3
12160204	3
12160205	3
12160301	3
12160302	3
12160303	3
12160304	3
12160305	3
12170101	3
12170102	3
12170103	3
12170104	3
12170105	3
12170201	3
12170202	3
12170203	3
12170204	3
12170205	3
12170301	3
12170302	3
12170303	3
12170304	3
12170305	3
12180101	3
12180102	3
12180103	3
12180104	3
12180105	3
12180201	3
12180202	3
12180203	3
12180204	3
12180205	3
12180301	3
12180302	3
12180303	3
12180304	3
12180305	3
12190101	3
12190102	3
12190103	3
12190104	3
12190105	3
12190201	3
12190202	3
12190203	3
12190204	3
12190205	3
12190301	3
12190302	3
12190303	3
12190304	3
12190305	3
12200101	3
12200102	3
12200103	3
12200104	3
12200105	3
12200201	3
12200202	3
12200203	3
12200204	3
12200205	3
12200301	3
12200302	3
12200303	3
12200304	3
12200305	3
12210101	3
12210102	3
12210103	3
12210104	3
12210105	3
12210201	3
12210202	3
12210203	3
12210204	3
12210205	3
12210301	3
12210302	3
12210303	3
12210304	3
12210305	3
12220101	3
12220102	3
12220103	3
12220104	3
12220105	3
12220106	3
12220107	3
12220108	3
12220109	3
12230101	3
12230102	3
12230103	3
12230104	3
12230105	3
12230106	3
12230107	3
12230108	3
12230109	3
12240101	3
12240102	3
12240103	3
12240104	3
12240105	3
12240106	3
12240107	3
12240108	3
12240109	3
12250101	3
12250102	3
12250103	3
12250104	3
12250105	3
12250106	3
12250107	3
12250108	3
12250109	3
12260101	3
12260102	3
12260103	3
12260104	3
12260105	3
12260106	3
12260107	3
12260108	3
12260109	3
