Id	DailyLimit	TotalLimit	BuyLimit	TimeId	Config[1]	Config[2]	Config[3]	Config[4]	Config[5]	Config[6]	Config[7]	Config[8]	Config[9]	Config[10]	ExchangeType	CanMutiply	AutoClose	IsRestrictFreeBuy	ItemCombineGroupId
1	20	0	0	0	1	2	3	4	5	6	7				1	1	0	0	0
4	10	0	0	0	101	102	103	104	105	106	107	108	109	110	1	1	0	0	0
50000	0	0	0	0	12										1	1	1	1	0
50001	0	0	0	0	13										1	1	1	1	0
50002	0	0	0	0	14										1	1	1	1	0
50003	0	0	0	0	15										1	1	1	1	1
50004	0	0	0	0	16										1	1	1	1	0
50005	0	0	0	0	17										1	1	1	1	0
50007	0	0	0	0	18										1	1	1	1	0
50008	0	0	0	0	19										1	1	1	1	0
50009	0	0	0	0	20										1	1	1	1	0
50010	0	0	0	0	21										1	1	1	1	0
50011	0	0	0	0	22										1	1	1	1	0
50012	0	0	0	0	23										1	1	1	1	0
50013	0	0	0	0	24										1	1	1	1	0
50014	0	0	0	0	25										1	1	1	1	0
50015	0	0	0	0	26										1	1	1	1	0
50016	0	0	0	0	27										1	1	1	1	0
38	0	0	0	0	201										1	1	0	0	0
2017	0	0	0	0	2017										2	2	1	0	0
2018	0	0	0	0	2018										2	2	1	0	0
2019	0	0	0	0	2019										2	2	1	0	0
2020	0	0	0	0	2020										2	2	1	0	0
2021	0	0	0	0	2021										2	2	1	0	0
2022	0	0	0	0	2022										2	2	1	0	0
2023	0	0	0	0	2023										2	2	1	0	0
2024	0	0	0	0	2024										2	2	1	0	0
2025	0	0	0	0	2025										2	2	1	0	0
2026	0	0	0	0	2026										2	2	1	0	0
2027	0	0	0	0	2027										2	2	1	0	0
2028	0	0	0	0	2028										2	2	1	0	0
2029	0	0	0	0	2029										2	2	1	0	0
2030	0	0	0	0	2030										2	2	1	0	0
2031	0	0	0	0	2031										2	2	1	0	0
2032	0	0	0	0	2032										2	2	1	0	0
2033	0	0	0	0	2033										2	2	1	0	0
2034	0	0	0	0	2034										2	2	1	0	0
2035	0	0	0	0	2035										2	2	1	0	0
2036	0	0	0	0	2036										2	2	1	0	0
2037	0	0	0	0	2037										2	2	1	0	0
2038	0	0	0	0	2038										2	2	1	0	0
2039	0	0	0	0	2039										2	2	1	0	0
2040	0	0	0	0	2040										2	2	1	0	0
2041	0	0	0	0	2041										2	2	1	0	0
2042	0	0	0	0	2042										2	2	1	0	0
2043	0	0	0	0	2043										2	2	1	0	0
2044	0	0	0	0	2044										2	2	1	0	0
2045	0	0	0	0	2045										2	2	1	0	0
2046	0	0	0	0	2046										2	2	1	0	0
2047	0	0	0	0	2047										2	2	1	0	0
2048	0	0	0	0	2048										2	2	1	0	0
2049	0	0	0	0	2049										2	2	1	0	0
2050	0	0	0	0	2050										2	2	1	0	0
2051	0	0	0	0	2051										2	2	1	0	0
2052	0	0	0	0	2052										2	2	1	0	0
2053	0	0	0	0	2053										2	2	1	0	0
2054	0	0	0	0	2054										2	2	1	0	0
2081	0	0	0	0	2081										2	2	1	0	0
2083	0	0	0	0	2083										2	2	1	0	0
2084	0	0	0	0	2084										2	2	1	0	0
2085	0	0	0	0	2085										2	2	1	0	0
2086	0	0	0	0	2086										2	2	1	0	0
2087	0	0	0	0	2087										2	2	1	0	0
2088	0	0	0	0	2088										2	2	1	0	0
2089	0	0	0	0	2089										2	2	1	0	0
2090	0	0	0	0	2090										2	2	1	0	0
2091	0	0	0	0	2091										2	2	1	0	0
2092	0	0	0	0	2092										2	2	1	0	0
2093	0	0	0	0	2093										2	2	1	0	0
2094	0	0	0	0	2094										2	2	1	0	0
2095	0	0	0	0	2095										2	2	1	0	0
2096	0	0	0	0	2096										2	2	1	0	0
2097	0	0	0	0	2097										2	2	1	0	0
2098	0	0	0	0	2098										2	2	1	0	0
2099	0	0	0	0	2099										2	2	1	0	0
2100	0	0	0	0	2100										2	2	1	0	0
2101	0	0	0	0	2101										2	2	1	0	0
2102	0	0	0	0	2102										2	2	1	0	0
2116	0	0	0	0	2116										2	2	1	0	0
2117	0	0	0	0	2117										2	2	1	0	0
2118	0	0	0	0	2118										2	2	1	0	0
2119	0	0	0	0	2119										2	2	1	0	0
2120	0	0	0	0	2120										2	2	1	0	0
2121	0	0	0	0	2121										2	2	1	0	0
2122	0	0	0	0	2122										2	2	1	0	0
2123	0	0	0	0	2123										2	2	1	0	0
2124	0	0	0	0	2124										2	2	1	0	0
2125	0	0	0	0	2125										2	2	1	0	0
2126	0	0	0	0	2126										2	2	1	0	0
2127	0	0	0	0	2127										2	2	1	0	0
2128	0	0	0	0	2128										2	2	1	0	0
2129	0	0	0	0	2129										2	2	1	0	0
2130	0	0	0	0	2130										2	2	1	0	0
2131	0	0	0	0	2131										2	2	1	0	0
2132	0	0	0	0	2132										2	2	1	0	0
2133	0	0	0	0	2133										2	2	1	0	0
2134	0	0	0	0	2134										2	2	1	0	0
2135	0	0	0	0	2135										2	2	1	0	0
2136	0	0	0	0	2136										2	2	1	0	0
2137	0	0	0	0	2137										2	2	1	0	0
2138	0	0	0	0	2138										2	2	1	0	0
2139	0	0	0	0	2139										2	2	1	0	0
2140	0	0	0	0	2140										2	2	1	0	0
2141	0	0	0	0	2141										2	2	1	0	0
2142	0	0	0	0	2142										2	2	1	0	0
2143	0	0	0	0	2143										2	2	1	0	0
2144	0	0	0	0	2144										2	2	1	0	0
2145	0	0	0	0	2145										2	2	1	0	0
2146	0	0	0	0	2146										2	2	1	0	0
2147	0	0	0	0	2147										2	2	1	0	0
2148	0	0	0	0	2148										2	2	1	0	0
2149	0	0	0	0	2149										2	2	1	0	0
2150	0	0	0	0	2150										2	2	1	0	0
2151	0	0	0	0	2151										2	2	1	0	0
2152	0	0	0	0	2152										2	2	1	0	0
2153	0	0	0	0	2153										2	2	1	0	0
2154	0	0	0	0	2154										2	2	1	0	0
2155	0	0	0	0	2155										2	2	1	0	0
2156	0	0	0	0	2156										2	2	1	0	0
2157	0	0	0	0	2157										2	2	1	0	0
2158	0	0	0	0	2158										2	2	1	0	0
2159	0	0	0	0	2159										2	2	1	0	0
2160	0	0	0	0	2160										2	2	1	0	0
2161	0	0	0	0	2161										2	2	1	0	0
2162	0	0	0	0	2162										2	2	1	0	0
2163	0	0	0	0	2163										2	2	1	0	0
2164	0	0	0	0	2164										2	2	1	0	0
2165	0	0	0	0	2165										2	2	1	0	0
2166	0	0	0	0	2166										2	2	1	0	0
2167	0	0	0	0	2167										2	2	1	0	0
2168	0	0	0	0	2168										2	2	1	0	0
2169	0	0	0	0	2169										2	2	1	0	0
2170	0	0	0	0	2170										2	2	1	0	0
2171	0	0	0	0	2171										2	2	1	0	0
2172	0	0	0	0	2172										2	2	1	0	0
2173	0	0	0	0	2173										2	2	1	0	0
2174	0	0	0	0	2174										2	2	1	0	0
2175	0	0	0	0	2175										2	2	1	0	0
2176	0	0	0	0	2176										2	2	1	0	0
2177	0	0	0	0	2177										2	2	1	0	0
2178	0	0	0	0	2178										2	2	1	0	0
2179	0	0	0	0	2179										2	2	1	0	0
2180	0	0	0	0	2180										2	2	1	0	0
2181	0	0	0	0	2181										2	2	1	0	0
2182	0	0	0	0	2182										2	2	1	0	0
2183	0	0	0	0	2183										2	2	1	0	0
2184	0	0	0	0	2184										2	2	1	0	0
2185	0	0	0	0	2185										2	2	1	0	0
2186	0	0	0	0	2186										2	2	1	0	0
2187	0	0	0	0	2187										2	2	1	0	0
2188	0	0	0	0	2188										2	2	1	0	0
2189	0	0	0	0	2189										2	2	1	0	0
2190	0	0	0	0	2190										2	2	1	0	0
2195	0	0	0	0	2195										2	2	1	0	0
2196	0	0	0	0	2196										2	2	1	0	0
2197	0	0	0	0	2197										2	2	1	0	0
2198	0	0	0	0	2198										2	2	1	0	0
2199	0	0	0	0	2199										2	2	1	0	0
2200	0	0	0	0	2200										2	2	1	0	0
2201	0	0	0	0	2201										2	2	1	0	0
2202	0	0	0	0	2202										2	2	1	0	0
2203	0	0	0	0	2203										2	2	1	0	0
2204	0	0	0	0	2204										2	2	1	0	0
2205	0	0	0	0	2205										2	2	1	0	0
2206	0	0	0	0	2206										2	2	1	0	0
2207	0	0	0	0	2207										2	2	1	0	0
2208	0	0	0	0	2208										2	2	1	0	0
2209	0	0	0	0	2209										2	2	1	0	0
2210	0	0	0	0	2210										2	2	1	0	0
2212	0	0	0	0	2212										2	2	1	0	0
2213	0	0	0	0	2213										2	2	1	0	0
2214	0	0	0	0	2214										2	2	1	0	0
2215	0	0	0	0	2215										2	2	1	0	0
2216	0	0	0	0	2216										2	2	1	0	0
2217	0	0	0	0	2217										2	2	1	0	0
2218	0	0	0	0	2218										2	2	1	0	0
2219	0	0	0	0	2219										2	2	1	0	0
2220	0	0	0	0	2220										2	2	1	0	0
2221	0	0	0	0	2221										2	2	1	0	0
2222	0	0	0	0	2222										2	2	1	0	0
2223	0	0	0	0	2223										2	2	1	0	0
2224	0	0	0	0	2224										2	2	1	0	0
2225	0	0	0	0	2225										2	2	1	0	0
2261	0	0	0	0	2261										2	2	1	0	0
2262	0	0	0	0	2262										2	2	1	0	0
2263	0	0	0	0	2263										2	2	1	0	0
2264	0	0	0	0	2264										2	2	1	0	0
2265	0	0	0	0	2265										2	2	1	0	0
2266	0	0	0	0	2266										2	2	1	0	0
2267	0	0	0	0	2267										2	2	1	0	0
2268	0	0	0	0	2268										2	2	1	0	0
2269	0	0	0	0	2269										2	2	1	0	0
2270	0	0	0	0	2270										2	2	1	0	0
2271	0	0	0	0	2271										2	2	1	0	0
2272	0	0	0	0	2272										2	2	1	0	0
2273	0	0	0	0	2273										2	2	1	0	0
2274	0	0	0	0	2274										2	2	1	0	0
2275	0	0	0	0	2275										2	2	1	0	0
2276	0	0	0	0	2276										2	2	1	0	0
2277	0	0	0	0	2277										2	2	1	0	0
2321	0	0	0	0	2321										2	2	1	0	0
2322	0	0	0	0	2322										2	2	1	0	0
2323	0	0	0	0	2323										2	2	1	0	0
2324	0	0	0	0	2324										2	2	1	0	0
2325	0	0	0	0	2325										2	2	1	0	0
2326	0	0	0	0	2326										2	2	1	0	0
2327	0	0	0	0	2327										2	2	1	0	0
2328	0	0	0	0	2328										2	2	1	0	0
2329	0	0	0	0	2329										2	2	1	0	0
2330	0	0	0	0	2330										2	2	1	0	0
2331	0	0	0	0	2331										2	2	1	0	0
2332	0	0	0	0	2332										2	2	1	0	0
2333	0	0	0	0	2333										2	2	1	0	0
2334	0	0	0	0	2334										2	2	1	0	0
2335	0	0	0	0	2335										2	2	1	0	0
2336	0	0	0	0	2336										2	2	1	0	0
2337	0	0	0	0	2337										2	2	1	0	0
2338	0	0	0	0	2338										2	2	1	0	0
2339	0	0	0	0	2339										2	2	1	0	0
2350	0	0	0	0	2350										2	2	1	0	0
2351	0	0	0	0	2351										2	2	1	0	0
2352	0	0	0	0	2352										2	2	1	0	0
2354	0	0	0	0	2354										2	2	1	0	0
2355	0	0	0	0	2355										2	2	1	0	0
2356	0	0	0	0	2356										2	2	1	0	0
2357	0	0	0	0	2357										2	2	1	0	0
2358	0	0	0	0	2358										2	2	1	0	0
2359	0	0	0	0	2359										2	2	1	0	0
2360	0	0	0	0	2360										2	2	1	0	0
