Id	WeaponId	Level	LevelName	ConsumeItemIds[1]	ConsumeItemCounts[1]	OverrunType	ChipBindType	ActiveSuitItemId	ActiveSuitItemCount	Desc	Ability	ShowOverrunEffect	Name	UiNodePosX[1]	UiNodePosX[2]	UiNodePosX[3]	UiNodePosX[4]	UiNodePosX[5]	UiNodePosX[6]	UiNodePosX[7]	UiNodePosY[1]	UiNodePosY[2]	UiNodePosY[3]	UiNodePosY[4]	UiNodePosY[5]	UiNodePosY[6]	UiNodePosY[7]	UiLinePointList[1]	UiLinePointList[2]	UiLinePointList[3]	UiLinePointList[4]	UiLinePointList[5]	UiLinePointList[6]	UiLinePointList[7]	SelectedCameraPosX	SelectedCameraPosY	SelectedCameraPosZ	SelectedCameraRotX	MagicIds[1]	ShowOverrunSkillId	CharacterId	SelectedCameraRotY	SelectedCameraRotZ	UpSkillGroupId	UpSkillGroupLevel
1	2016001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
2	2016002	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
3	2016003	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
4	2026001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
5	2026002	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
6	2026003	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
7	2026004	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
8	2026005	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
9	2026006	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
10	2036001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
11	2036002	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
12	2036003	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
13	2046001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
14	2046002	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
15	2056001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
16	2056002	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
17	2066001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
18	2066002	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
19	2076001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
20	2076002	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
21	2086001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
22	2086002	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
23	2096001	1	1	34000	25	1		47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
24	2096002	1	1	34000	25	1		47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
25	2096003	1	1	34000	25	1		47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
26	2106001	1	1	34000	25	1	2	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
27	2116001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
28	2126001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
29	2136001	1	1	34000	25	1	2	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
30	2146001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
31	2156001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
32	2166001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
33	2176001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
34	2186001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
35	2196001	1	1	34000	25	1	2	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
36	2206001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
37	2216001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
38	2226001	1	1	34000	25	1	2	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
39	2236001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
40	2246001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
41	2256001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
42	2266001	1	1	34000	25	1	2	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
43	2276001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
44	2286001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
45	2296001	1	1	34000	25	1	2	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
46	2306001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
47	2316001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
48	2326001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
49	2336001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
50	2346001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
51	2356001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
52	2366001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
53	2376001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
54	2046003	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
55	2386001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
56	2396001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
57	2406001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
58	2416001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
59	2426001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
60	2436001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
61	2446001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
62	2456001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
63	2466001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
64	2476001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
65	2486001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
66	2496001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
67	2506001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
68	2516001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
69	2526001	1	1	34000	25	1	1	47	1200	Piece count for Memory Set effects +2	90	1	Harmony Absorption	-668.0	-631.2999						107.3	249.0						494.8,151|243.36,7.78|188,7.78	520.21,115.8|243.36,7.78|188,7.78						0.3689	0.4	-24.1	2.25							
70	2536001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
71	2546001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
72	2556001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
73	2566001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
74	2576001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
75	2586001	1	1	34000	25	1	1	47	1200	Harmony Absorption: Piece count for Memory Set effects +2	90																																		
