Id	Ability
101	100
102	100
103	100
201	100
202	100
203	100
301	100
302	100
303	100
401	100
402	100
403	100
500	100
501	100
502	100
503	100
504	100
505	100
506	100
507	100
508	100
509	100
510	100
511	100
512	100
513	100
514	100
515	100
516	100
517	100
2013001	0
2014001	0
2015001	0
2015002	0
2016001	0
2016002	0
2016003	0
2022001	0
2023001	0
2024001	0
2025001	0
2025002	0
2026001	0
2026002	0
2026003	0
2026004	0
2026005	0
2026006	0
2032001	0
2033001	0
2034001	0
2035001	0
2035002	0
2036001	0
2036002	0
2036003	0
2043001	0
2044001	0
2045001	0
2045002	0
2046001	0
2046002	0
2046003	0
2053001	0
2054001	0
2055001	0
2055002	0
2056001	0
2056002	0
2063001	0
2064001	0
2065001	0
2065002	0
2065050	0
2066001	0
2066002	0
2073001	0
2074001	0
2075001	0
2075002	0
2076001	0
2076002	0
2083001	0
2084001	0
2085001	0
2085002	0
2086001	0
2086002	0
2991001	0
2992001	0
2993001	0
2994001	0
2093001	0
2094001	0
2095001	0
2096001	0
2096002	0
2096003	0
2104001	0
2105001	0
2106001	0
2114001	0
2115001	0
2115002	0
2116001	0
2116002	0
2124001	0
2125001	0
2125002	0
2126001	0
2126002	0
2134001	0
2135001	0
2136001	0
2144001	0
2145001	0
2146001	0
2155001	0
2156001	0
2165001	0
2166001	0
2174001	0
2175001	0
2176001	0
2184001	0
2185001	0
2186001	0
2194001	0
2195001	0
2196001	0
2204001	0
2205001	0
2206001	0
2214001	0
2215001	0
2216001	0
2234001	0
2235001	0
2236001	0
2224001	0
2225001	0
2226001	0
2244001	0
2245001	0
2246001	0
2254001	0
2255001	0
2256001	0
2264001	0
2265001	0
2266001	0
2274001	0
2275001	0
2276001	0
2284001	0
2285001	0
2286001	0
2294001	0
2295001	0
2296001	0
2304001	0
2305001	0
2306001	0
2314001	0
2315001	0
2316001	0
2324001	0
2325001	0
2326001	0
2334001	0
2335001	0
2336001	0
2344001	0
2345001	0
2346001	0
2354001	0
2355001	0
2356001	0
2364001	0
2365001	0
2366001	0
2374001	0
2375001	0
2376001	0
2384001	0
2385001	0
2386001	0
2395001	0
2396001	0
2404001	0
2405001	0
2406001	0
2414001	0
2415001	0
2416001	0
2424001	0
2425001	0
2426001	0
2434001	0
2435001	0
2436001	0
2444001	0
2445001	0
2446001	0
2454001	0
2455001	0
2456001	0
2464001	0
2465001	0
2466001	0
2474001	0
2475001	0
2476001	0
2484001	0
2485001	0
2486001	0
2494001	0
2495001	0
2496001	0
2504001	0
2505001	0
2506001	0
2514001	0
2515001	0
2516001	0
2524001	0
2525001	0
2526001	0
2534001	0
2535001	0
2536001	0
2544001	0
2545001	0
2546001	0
2555001	0
2556001	0
2565001	0
2566001	0
2574001	0
2575001	0
2576001	0
2584001	0
2585001	0
2586001	0
2594001	0
2595001	0
2596001	0
2604001	0
2605001	0
2606001	0
2614001	0
2615001	0
2616001	0
2624001	0
2625001	0
2626001	0
2634001	0
2635001	0
2636001	0
2644001	0
2645001	0
2646001	0
2654001	0
2655001	0
2656001	0
2664001	0
2665001	0
2666001	0
2674001	0
2675001	0
2676001	0
