Id	Ability
120102	0
120104	0
130102	0
130104	0
130402	0
130404	0
140102	0
140104	0
140402	0
140404	0
140702	0
140704	0
141002	0
141004	0
141302	0
141602	0
141604	0
141606	0
150102	0
150104	0
150202	0
150204	0
150302	0
150304	0
150402	0
150404	0
150502	0
150504	0
150602	0
150604	0
150702	0
150704	0
150802	0
150804	0
150902	0
150904	0
150906	0
160102	0
160104	0
160202	0
160204	0
160302	0
160304	0
160402	0
160404	0
160502	0
160504	0
160602	0
160604	0
160702	0
160704	0
160706	0
160802	0
160804	0
160902	0
160904	0
161002	0
161004	0
161102	0
161104	0
161202	0
161204	0
161402	0
161404	0
161502	0
161504	0
161602	0
161604	0
161606	0
190102	0
190104	0
190202	0
190204	0
155002	0
155004	0
161302	0
161304	0
155012	0
155022	0
155032	0
155042	0
155052	0
155054	0
155062	0
155064	0
155072	0
155074	0
155902	0
155904	0
156002	0
156004	0
156102	0
156104	0
161702	0
161704	0
161802	0
161804	0
161806	0
161902	0
161904	0
162002	0
162004	0
162006	0
162102	0
162104	0
162202	0
162204	0
162302	0
162304	0
162306	0
162402	0
162404	0
162502	0
162504	0
162602	0
162604	0
162606	0
162702	0
162704	0
162802	0
162804	0
162806	0
162902	0
162904	0
162906	0
163002	0
163004	0
163006	0
163102	0
163104	0
163202	0
163204	0
163302	0
163304	0
163402	0
163404	0
163502	0
163504	0
163602	0
163604	0
163702	0
163704	0
163802	0
163804	0
163902	0
163904	0
163906	0
3000002	0
3000004	0
3000006	0
3000008	0
164002	0
164004	0
164102	0
164104	0
164202	0
164204	0
156202	0
156302	0
156402	0
156502	0
156602	0
156702	0
156802	0
156902	0
156904	0
157002	0
157102	0
157104	0
157202	0
157204	0
164302	0
164304	0
164402	0
164404	0
164502	0
164504	0
164602	0
164604	0
164702	0
164704	0
164802	0
164804	0
164902	0
164904	0
165002	0
165004	0
165102	0
165104	0
165202	0
165204	0
165302	0
165304	0
165402	0
165404	0
165502	0
165504	0
165602	0
165604	0
165702	0
165704	0
165802	0
165804	0
165902	0
165904	0
166002	0
166004	0
2000002	0
2000004	0
5000002	0
5000004	0
166102	0
166104	0
166202	0
166204	0
166302	0
166304	0
166402	0
166404	0
